#{"t_start": 1779171662.9293005, "env_id": "None"}
r,l,t
222.383295,104,87.926132
222.535437,104,87.990642
222.517138,105,88.05615
221.314401,103,88.121151
222.825043,105,88.18766
221.6984,103,88.900496
222.038549,103,88.966006
222.014363,103,89.030006
222.465855,104,89.095516
221.910938,103,89.162025
222.634395,104,89.228023
222.307769,104,89.293534
222.197122,103,89.360049
222.742441,105,89.425402
222.622145,104,89.490911
222.476887,104,90.221295
222.26193,104,90.286806
222.032654,103,90.351316
222.606304,104,90.417316
222.229881,104,90.483825
222.162479,103,90.548961
222.582904,104,90.614964
222.290001,103,90.679477
222.706949,104,90.74648
221.89717,103,90.810988
222.643793,105,91.5281
222.511127,104,91.592116
222.444091,104,91.657145
222.561646,104,91.723145
222.23896,103,91.789652
222.276481,103,91.856498
222.887256,106,91.924578
222.460917,104,91.99065
222.308955,104,92.056157
23.335777,500,93.02237
222.577556,104,93.08988
222.497524,103,93.15539
223.02469,106,93.22239
222.203544,104,93.288898
222.542005,104,93.354409
222.424973,103,93.418407
45.674519,500,94.385508
221.723087,103,94.449509
222.788252,104,94.515642
222.639891,105,94.582865
222.629807,105,94.650867
222.133309,103,94.716375
222.472265,104,95.428951
222.69837,105,95.495463
222.744559,105,95.561631
222.558376,104,95.627611
222.571817,105,95.69412
222.945511,105,95.761634
222.931731,105,95.828634
222.883469,105,95.895145
222.995206,105,95.961658
223.112402,106,96.688564
222.577523,105,96.755074
45.075555,500,97.072875
222.17723,103,97.137881
222.242968,103,97.202388
221.875033,103,97.266486
222.538733,104,97.332486
222.037551,103,98.048859
222.706128,105,98.116368
222.034294,104,98.181879
222.239561,103,98.247881
221.892429,102,98.31441
221.943399,104,98.38018
221.920253,104,98.446692
222.479305,104,98.511314
222.238935,103,98.576598
221.92869,104,99.294383
222.515498,104,99.360897
221.882376,104,99.426899
222.304481,103,99.492408
223.020783,105,99.559919
223.109914,105,99.624917
221.972233,103,99.690532
222.10138,104,99.75724
222.11876,103,99.82324
222.52049,104,99.888752
222.6108,104,100.610505
222.14942,104,100.676019
222.235755,104,100.742023
222.312198,103,100.808531
222.78175,105,100.875215
222.357167,104,100.941218
222.616804,104,101.007725
222.702401,105,101.074304
221.686024,102,101.13881
222.617504,105,101.205322
222.684166,104,101.920958
222.787311,105,101.987507
221.832001,103,102.05251
221.620915,102,102.118017
221.724944,102,102.183533
222.370398,104,102.250538
223.150028,105,102.318049
221.462121,103,102.382245
222.374769,103,102.454754
222.051312,103,102.557745
222.055605,104,103.314529
222.13201,103,103.379581
222.102653,103,103.443584
222.720966,105,103.509688
222.252548,104,103.576254
222.678538,104,103.642258
222.364989,103,103.708763
222.402334,104,103.773909
222.10885,103,103.839908
221.904792,103,103.906015
221.858332,102,104.620584
222.064544,103,104.685708
